,id,abbr,state,wikipedia
3674,306076,AK,Alaska,https://en.wikipedia.org/wiki/Alaska
3675,306077,AL,Alabama,https://en.wikipedia.org/wiki/Alabama
3676,306078,AR,Arkansas,https://en.wikipedia.org/wiki/Arkansas
3677,306079,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona
3678,306080,CA,California,https://en.wikipedia.org/wiki/California
3679,306081,CO,Colorado,https://en.wikipedia.org/wiki/Colorado
3680,306082,CT,Connecticut,https://en.wikipedia.org/wiki/Connecticut
3681,306083,DC,District of Columbia,https://en.wikipedia.org/wiki/District_of_Columbia
3682,306084,DE,Delaware,https://en.wikipedia.org/wiki/Delaware
3683,306085,FL,Florida,https://en.wikipedia.org/wiki/Florida
3684,306086,GA,Georgia,https://en.wikipedia.org/wiki/Georgia
3685,306087,HI,Hawaii,https://en.wikipedia.org/wiki/Hawaii
3686,306088,IA,Iowa,https://en.wikipedia.org/wiki/Iowa
3687,306089,ID,Idaho,https://en.wikipedia.org/wiki/Idaho
3688,306090,IL,Illinois,https://en.wikipedia.org/wiki/Illinois
3689,306091,IN,Indiana,https://en.wikipedia.org/wiki/Indiana
3690,306092,KS,Kansas,https://en.wikipedia.org/wiki/Kansas
3691,306093,KY,Kentucky,https://en.wikipedia.org/wiki/Kentucky
3692,306094,LA,Louisiana,https://en.wikipedia.org/wiki/Louisiana
3693,306095,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts
3694,306096,MD,Maryland,https://en.wikipedia.org/wiki/Maryland
3695,306097,ME,Maine,https://en.wikipedia.org/wiki/Maine
3696,306098,MI,Michigan,https://en.wikipedia.org/wiki/Michigan
3697,306099,MN,Minnesota,https://en.wikipedia.org/wiki/Minnesota
3698,306100,MO,Missouri,https://en.wikipedia.org/wiki/Missouri
3699,306101,MS,Mississippi,https://en.wikipedia.org/wiki/Mississippi
3700,306102,MT,Montana,https://en.wikipedia.org/wiki/Montana
3701,306103,NC,North Carolina,https://en.wikipedia.org/wiki/North_Carolina
3702,306104,ND,North Dakota,https://en.wikipedia.org/wiki/North_Dakota
3703,306105,NE,Nebraska,https://en.wikipedia.org/wiki/Nebraska
3704,306106,NH,New Hampshire,https://en.wikipedia.org/wiki/New_Hampshire
3705,306107,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey
3706,306108,NM,New Mexico,https://en.wikipedia.org/wiki/New_Mexico
3707,306109,NV,Nevada,https://en.wikipedia.org/wiki/Nevada
3708,306110,NY,New York,https://en.wikipedia.org/wiki/New_York
3709,306111,OH,Ohio,https://en.wikipedia.org/wiki/Ohio
3710,306112,OK,Oklahoma,https://en.wikipedia.org/wiki/Oklahoma
3711,306113,OR,Oregon,https://en.wikipedia.org/wiki/Oregon
3712,306114,PA,Pennsylvania,https://en.wikipedia.org/wiki/Pennsylvania
3713,306115,RI,Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island
3714,306116,SC,South Carolina,https://en.wikipedia.org/wiki/South_Carolina
3715,306117,SD,South Dakota,https://en.wikipedia.org/wiki/South_Dakota
3716,306118,TN,Tennessee,https://en.wikipedia.org/wiki/Tennessee
3717,306119,TX,Texas,https://en.wikipedia.org/wiki/Texas
3718,306120,U-A,(unassigned),
3719,306121,UT,Utah,https://en.wikipedia.org/wiki/Utah
3720,306122,VA,Virginia,https://en.wikipedia.org/wiki/Virginia
3721,306123,VT,Vermont,https://en.wikipedia.org/wiki/Vermont
3722,306124,WA,Washington,https://en.wikipedia.org/wiki/Washington
3723,306125,WI,Wisconsin,https://en.wikipedia.org/wiki/Wisconsin
3724,306126,WV,West Virginia,https://en.wikipedia.org/wiki/West_Virginia
3725,306127,WY,Wyoming,https://en.wikipedia.org/wiki/Wyoming
